"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5082","User registration with randomdata @sanity","chromium","2026-02-28","passed","2026-02-28","","Registration.spec.ts","",""
"","4571","Verify search","chromium","2026-02-28","passed","2026-02-28","","Searchproduct.spec.ts","",""
"","7633","json data Verify login data with Valid login","chromium","2026-02-28","passed","2026-02-28","VerifydataDriven  @datadriven","logindatadriven.spec.ts","",""
"","3912","get started link","chromium","2026-02-28","passed","2026-02-28","","example.spec.ts","",""
"","14833","Verify valid login data @smoke","chromium","2026-02-28","passed","2026-02-28","","login.spec.ts","",""
"","7472","json data Verify login data with Valid login","chromium","2026-02-28","passed","2026-02-28","","logindatadriven.spec.ts","",""
"","4217","User registration with randomdata","chromium","2026-02-28","passed","2026-02-28","","Registration.spec.ts","",""
"","6122","csv data Verify login data with Invalid login","chromium","2026-02-28","passed","2026-02-28","VerifydataDriven  @datadriven","logindatadriven.spec.ts","",""
"","7236","csv data Verify login data with Valid login","chromium","2026-02-28","passed","2026-02-28","VerifydataDriven  @datadriven","logindatadriven.spec.ts","",""
"","5455","csv data Verify login data with Invalid login","chromium","2026-02-28","passed","2026-02-28","","logindatadriven.spec.ts","",""
"","7600","csv data Verify login data with Valid login","chromium","2026-02-28","passed","2026-02-28","","logindatadriven.spec.ts","",""
"","13700","Verify valid login data @smoke","chromium","2026-02-28","passed","2026-02-28","","logout.spec.ts","",""
"","4745","json data Verify login data with Invalid login","chromium","2026-02-28","passed","2026-02-28","","logindatadriven.spec.ts","",""
"","11437","Verify valid login data","chromium","2026-02-12","passed","2026-02-12","","login.spec.ts","",""
"","5178","has title","chromium","2026-02-28","passed","2026-02-28","","example.spec.ts","",""
"","4239","verifylogin","chromium","2026-02-12","passed","2026-02-12","","login.spec.ts","",""
"","10623","Verify login data with Valid login","chromium","2026-02-12","passed","2026-02-12","","logindatadriven.spec.ts","",""
"","5167","json data Verify login data with Invalid login","chromium","2026-02-28","passed","2026-02-28","VerifydataDriven  @datadriven","logindatadriven.spec.ts","",""
"","7007","Verify login data with Invalid login","chromium","2026-02-12","passed","2026-02-12","","logindatadriven.spec.ts","",""
